Title,fantasy,science,horror,thriller,mystery,detective,history,young,children
Philippa Fisher and the Dream-Maker's Daughter,1,0,0,0,0,0,0,0,1
The Gruffalo,1,0,0,0,0,0,0,0,1
The Wind on the Moon,1,0,0,0,0,0,0,0,1
Mixed Magics,1,0,0,0,0,0,0,0,1
The Ghost Drum,1,0,0,0,0,0,0,0,1
The Little Grey Men,1,0,0,0,0,0,0,0,1
The Silver Chair,1,0,0,0,0,0,0,0,1
The Voyage of the Dawn Treader,1,0,0,0,0,0,0,0,1
The Last Battle,1,0,0,0,0,0,0,0,1
"The Lion, the Witch and the Wardrobe",1,0,0,0,0,0,0,0,1
The Horse and His Boy,1,0,0,0,0,0,0,0,1
Prince Caspian,1,0,0,0,0,0,0,0,1
The Magician's Nephew,1,0,0,0,0,0,0,0,1
The Time of the Ghost,1,0,0,0,1,0,0,0,1
Soonchild,1,0,0,0,0,0,0,0,1
The Moon in the Cloud,1,0,0,0,0,0,1,0,1
Children of the Red King,1,0,0,0,0,0,0,0,1
Conrad's Fate,1,0,0,0,0,0,0,0,1
The Magicians of Caprona,1,0,0,0,0,0,0,0,1
The Pinhoe Egg,1,0,0,0,0,0,0,0,1
Mel Foster and the Demon Butler,1,0,0,0,0,0,1,0,1
Odd and the Frost Giants,1,0,0,0,0,0,0,0,1
Enchanted Glass,1,0,0,0,0,0,0,0,1
Ptolemy's Gate,1,0,0,0,0,0,0,0,1
Beyond the Deepwoods,1,0,0,0,0,0,0,0,1
Freeglader,1,0,0,0,0,0,0,0,1
The Last of the Sky Pirates,1,0,0,0,0,0,0,0,1
Marianne Dreams,1,0,0,0,0,0,0,0,1
The Animals of Farthing Wood,1,0,0,0,0,0,0,0,1
Redwall,1,0,0,0,0,0,0,0,1
Troll Mill,1,0,0,0,0,0,0,0,1
Artemis Fowl: The Arctic Incident,1,0,0,0,0,0,0,0,1
In the Grip of Winter,1,0,0,0,0,0,0,0,1
Firewing,1,0,0,0,0,0,0,0,1
The Wretched Stone,1,0,0,0,0,0,0,0,1
The Siege of White Deer Park,1,0,0,0,0,0,0,0,1
The Spellcoats,1,0,0,0,0,0,0,0,1
Battle for the Park,1,0,0,0,0,0,0,0,1
In the Path of the Storm,1,0,0,0,0,0,0,0,1
The Wreck of the Zephyr,1,0,0,0,0,0,0,0,1
The Amulet of Samarkand,1,0,0,0,0,0,0,0,1
Probuditi!,1,0,0,0,0,0,0,0,1
The Golem's Eye,1,0,0,0,0,0,0,0,1
The Fox Cub Bold,1,0,0,0,0,0,0,0,1
Igraine the Brave,1,0,0,0,0,0,0,0,1
The Rise of Scourge,1,0,0,0,0,0,0,0,1
The Widow's Broom,1,0,0,0,0,0,0,0,1
Theodosia and the Serpents of Chaos,1,0,0,0,0,0,0,0,1
I Was a Rat! or The Scarlet Slippers,1,0,0,0,0,0,0,0,1
Shattered Peace,1,0,0,0,0,0,0,0,1
The BFG,1,0,0,0,0,0,0,0,1
The Heart of a Warrior,1,0,0,0,0,0,0,0,1
A Clan in Need,1,0,0,0,0,0,0,0,1
Warrior's Refuge,1,0,0,0,0,0,0,0,1
Mary Poppins Opens the Door,1,0,0,0,0,0,0,0,1
Racso and the Rats of NIMH,1,0,0,0,0,0,0,0,1
James and the Giant Peach,1,0,0,0,0,0,0,0,1
The Giant Garden of Oz,1,0,0,0,0,0,0,0,1
David and the Phoenix,1,0,0,0,0,0,0,0,1
The Nargun and the Stars,1,0,0,0,0,0,0,0,1
Slaves of the Mastery,1,0,0,0,0,0,0,0,1
"Thomasina, the Cat Who Thought She Was God",1,0,0,0,0,0,0,0,1
Firesong,1,0,0,0,0,0,0,0,1
Tuck Everlasting,1,0,0,0,0,0,0,0,1
Measle and the Wrathmonk,1,0,0,0,0,0,0,0,1
Measle and the Dragodon,1,0,0,0,0,0,0,0,1
Big Nate: Flips Out,0,0,0,0,0,0,0,0,1
Big Nate: On a Roll,0,0,0,0,0,0,0,0,1
Big Nate Goes for Broke,0,0,0,0,0,0,0,0,1
Where the Mountain Meets the Moon,1,0,0,0,0,0,0,0,1
Collected Stories for Children,1,0,0,0,0,0,0,0,1
Elidor,1,0,0,0,0,0,0,0,1
"Over Sea, Under Stone",1,0,0,0,1,0,0,0,1
The Order of Odd-Fish,1,0,0,0,0,0,0,0,1
The Finders,1,0,0,0,0,0,0,0,1
Will Gallows and the Snake-Bellied Troll,1,0,0,0,0,0,0,0,1
Gypsy Rizka,1,0,0,0,0,0,0,0,1
The Night Tourist,1,0,0,0,1,0,0,0,1
The Nighthawk Star,1,0,0,0,0,0,0,0,1
The Wizard and the Witch,1,0,0,0,0,0,0,0,1
The Wizard in Wonderland,1,0,0,0,0,0,0,0,1
The Wizard in the Woods,1,0,0,0,0,0,0,0,1
100 Cupboards,1,0,0,0,0,0,0,0,1
Tales from Watership Down,1,0,0,0,0,0,0,0,1
The Shadowmancer Returns: The Curse of Salamander Street,1,0,0,0,0,0,0,0,1
Tersias,1,0,0,0,0,0,0,0,1
Shadowmancer,1,0,0,0,0,0,0,0,1
Riddle of the Seventh Stone,1,0,0,0,0,0,0,0,1
Der kleine Vampir,1,0,0,0,0,0,0,0,1
Les clefs de babel,1,0,0,0,0,0,0,0,1
The House of Arden,1,0,0,0,0,0,0,0,1
The Phoenix and the Carpet,1,0,0,0,0,0,0,0,1
Cart and Cwidder,1,0,0,0,0,0,0,0,1
The Story of the Amulet,1,0,0,0,0,0,0,0,1
The Story of Doctor Dolittle,1,0,0,0,0,0,0,0,1
Taranauts,1,0,0,0,0,0,0,0,1
"Jeremy Thatcher, Dragon Hatcher",1,0,0,0,0,0,0,0,1
The Borrowers Avenged,1,0,0,0,0,0,0,0,1
The Borrowers Afloat,1,0,0,0,0,0,0,0,1
The Borrowers Afield,1,0,0,0,0,0,0,0,1
The Borrowers Aloft,1,0,0,0,0,0,0,0,1
Leven Thumps and the Wrath of Ezra,1,0,0,0,0,0,0,0,1
The Father Christmas Letters,1,0,0,0,0,0,0,0,1
Doctor Dolittle's Return,1,0,0,0,0,0,0,0,1
Doctor Dolittle's Caravan,1,0,0,0,0,0,0,0,1
Artemis Fowl,1,0,0,0,0,0,0,0,1
Drowned Ammet,1,0,0,0,0,0,0,0,1
The Throne of Fire,1,0,0,0,0,0,0,0,1
A Tale of Time City,1,0,0,0,0,0,0,0,1
Tal: His Marvelous Adventures with Noom-Zor-Noom,1,0,0,0,0,0,0,0,1
The Ogre Downstairs,1,0,0,0,0,0,0,0,1
The Story of Diva and Flea,0,0,0,0,0,0,0,0,1
Mister Tinker in Oz,1,0,0,0,0,0,0,0,1
The Adventures of Pinocchio,1,0,0,0,0,0,0,0,1
Peter Pan in Kensington Gardens,1,0,0,0,0,0,0,0,1
The Willows at Christmas,1,0,0,0,0,0,0,0,1
The Wish Giver,0,0,0,0,0,0,0,0,1
Just So Stories,0,0,0,0,0,0,0,0,1
The Jungle Book,0,0,0,0,0,0,0,0,1
The Second Jungle Book,0,0,0,0,0,0,0,0,1
Why Mommy is a Democrat,0,0,0,0,0,0,0,0,1
The Number Devil,0,0,0,0,0,0,0,0,1
Thunder:An Elephant's Journey,0,0,0,0,0,0,0,0,1
The True Story of the 3 Little Pigs!,0,0,0,0,0,0,0,0,1
The Runaway Rice Cake,0,0,0,0,0,0,0,0,1
The Real Story of Stone Soup,0,0,0,0,0,0,0,0,1
The Runaway Wok,0,0,0,0,0,0,0,0,1
Lotsa de Casha,0,0,0,0,0,0,0,0,1
Just David,0,0,0,0,0,0,0,0,1
Mr. Peabody's Apples,0,0,0,0,0,0,0,0,1
Curious George Gets a Medal,0,0,0,0,0,0,0,0,1
Miss Mousie's Blind Date,0,0,0,0,0,0,0,0,1
Yakov and the Seven Thieves,0,0,0,0,0,0,0,0,1
"Bradley McGogg, the Very Fine Frog",0,0,0,0,0,0,0,0,1
If You Give a Mouse a Cookie,0,0,0,0,0,0,0,0,1
Mr. Tall,0,0,0,0,0,0,0,0,1
Thidwick the Big-Hearted Moose,0,0,0,0,0,0,0,0,1
Caps for Sale,0,0,0,0,0,0,0,0,1
The Hoboken Chicken Emergency,0,0,0,0,0,0,0,0,1
El señor del cero,0,0,0,0,0,0,0,0,1
The Runaway Bunny,0,0,0,0,0,0,0,0,1
Danny and the Dinosaur,0,0,0,0,0,0,0,0,1
The Wahoo Bobcat,0,0,0,0,0,0,0,0,1
Shin's Tricycle,0,0,0,0,0,0,0,0,1
Smoke in the Forest,0,0,0,0,0,0,0,0,1
Bill Bergson and the White Rose Rescue,0,0,0,0,0,0,0,0,1
Green Eggs and Ham,0,0,0,0,0,0,0,0,1
The Cat in the Hat Comes Back,0,0,0,0,0,0,0,0,1
Horton Hears a Who!,0,0,0,0,0,0,0,0,1
Let My Babies Go! A Passover Story,0,0,0,0,0,0,0,0,1
Mitch and Amy,0,0,0,0,0,0,0,0,1
Men of Stone,0,0,0,0,0,0,0,0,1
I Had Trouble in Getting to Solla Sollew,0,0,0,0,0,0,0,0,1
Curious George Learns the Alphabet,0,0,0,0,0,0,0,0,1
Five Times Dizzy,0,0,0,0,0,0,0,0,1
Curious George Takes a Job,0,0,0,0,0,0,0,0,1
The Tale of Mr. Jeremy Fisher,0,0,0,0,0,0,0,0,1
Yolonda's Genius,0,0,0,0,0,0,0,0,1
The Fire Pony,0,0,0,0,0,0,0,0,1
The Cat's Quizzer,0,0,0,0,0,0,0,0,1
Child of the Wolves,0,0,0,0,0,0,0,0,1
Under the Mountain,0,0,0,0,0,0,0,0,1
Bartholomew and the Oobleck,0,0,0,0,0,0,0,0,1
Flush!: The Scoop on Poop Throughout the Ages,0,0,0,0,0,0,0,0,1
Harry the Dirty Dog,0,0,0,0,0,0,0,0,1
The Tale of Little Pig Robinson,0,0,0,0,0,0,0,0,1
The Lonely Doll,0,0,0,0,0,0,0,0,1
The King's Stilts,0,0,0,0,0,0,0,0,1
"Oh, the Thinks You Can Think!",0,0,0,0,0,0,0,0,1
William the Outlaw,0,0,0,0,0,0,0,0,1
I Am Not Going to Get Up Today!,0,0,0,0,0,0,0,0,1
"Oh, the Places You'll Go!",0,0,0,0,0,0,0,0,1
King of Kilba,0,0,0,0,0,0,0,0,1
Moccasin Trail,0,0,0,0,0,0,0,0,1
In the Night Kitchen,0,0,0,0,0,0,0,0,1
Rainbow Valley,0,0,0,0,0,0,0,0,1
Sam and Dave Dig a Hole,0,0,0,0,0,0,0,0,1
Babar's Museum of Art,0,0,0,0,0,0,0,0,1
Bill Bergson Lives Dangerously,0,0,0,0,0,0,0,0,1
The Adventures of Abdi,0,0,0,0,0,0,0,0,1
The Tale of Peter Rabbit,0,0,0,0,0,0,0,0,1
Mine for Keeps,0,0,0,0,0,0,0,0,1
Mr. Brown Can Moo! Can You?,0,0,0,0,0,0,0,0,1
Fattypuffs and Thinifers,0,0,0,0,0,0,0,0,1
Timur and His Squad,0,0,0,0,0,0,0,0,1
Scrambled Eggs Super!,0,0,0,0,0,0,0,0,1
The Cat in the Hat,0,0,0,0,0,0,0,0,1
The Bread Winner,0,0,0,0,0,0,0,0,1
The Tale of Squirrel Nutkin,0,0,0,0,0,0,0,0,1
Punk Farm,0,0,0,0,0,0,0,0,1
Curious George Goes to the Hospital,0,0,0,0,0,0,0,0,1
The Kite That Went to the Moon,0,0,0,0,0,0,0,0,1
Sia lives on Kilimanjaro,0,0,0,0,0,0,0,0,1
The Color Kittens,0,0,0,0,0,0,0,0,1
Curious George Rides a Bike,0,0,0,0,0,0,0,0,1
Mother Goose in Prose,0,0,0,0,0,0,0,0,1
An Island in the Soup,0,0,0,0,0,0,0,0,1
Daisy-Head Mayzie,0,0,0,0,0,0,0,0,1
Asha's Mums,0,0,0,0,0,0,0,0,1
Madol Doova,0,0,0,0,0,0,0,0,1
What Pet Should I Get?,0,0,0,0,0,0,0,0,1
Onion John,0,0,0,0,0,0,0,0,1
The Story of Ferdinand,0,0,0,0,0,0,0,0,1
26 Fairmount Avenue,0,0,0,0,0,0,0,0,1
Hitler's Daughter,0,0,0,0,0,0,0,0,1
The One and Only Ivan,0,0,0,0,0,0,0,0,1
The Lorax,0,0,0,0,0,0,0,0,1
Orbiting Jupiter,0,0,0,0,0,0,0,0,1
The Iron Moonhunter,0,0,0,0,0,0,0,0,1
The Butter Battle Book,0,0,0,0,0,0,0,0,1
Shrek!,0,0,0,0,0,0,0,0,1
Daddy's Roommate,0,0,0,0,0,0,0,0,1
Erik of het klein insectenboek,0,0,0,0,0,0,0,0,1
The Boy in the Oak,0,0,0,0,0,0,0,0,1
The Blue Cup,0,0,0,0,0,0,0,0,1
A Tale of Five Balloons,0,0,0,0,0,0,0,0,1
More William,0,0,0,0,0,0,0,0,1
Turtle in Paradise,0,0,0,0,0,0,0,0,1
How the Grinch Stole Christmas!,0,0,0,0,0,0,0,0,1
A Week in the Woods,0,0,0,0,0,0,0,0,1
The English Roses,0,0,0,0,0,0,0,0,1
The School Story,0,0,0,0,0,0,0,0,1
What Hearts,0,0,0,0,0,0,0,0,1
The Lady Daffodilia,0,0,0,0,0,0,0,0,1
Grandpa Green,0,0,0,0,0,0,0,0,1
Room One,0,0,0,0,0,0,0,0,1
From Anna,0,0,0,0,0,0,0,0,1
Little Arliss,0,0,0,0,0,0,0,0,1
Did I Ever Tell You How Lucky You Are?,0,0,0,0,0,0,0,0,1
Cloud Boy,0,0,0,0,0,0,0,0,1
The Kissing Hand,0,0,0,0,0,0,0,0,1
The Great Wheel,0,0,0,0,0,0,0,0,1
Millions of Cats,0,0,0,0,0,0,0,0,1
The Secret Order of the Gumm Street Girls,0,0,0,0,0,0,0,0,1
Distant Lands,0,0,0,0,0,0,0,0,1
Curious George Flies a Kite,0,0,0,0,0,0,0,0,1
Project Superhero,0,0,0,0,0,0,0,0,1
Cecily Parsley's Nursery Rhymes,0,0,0,0,0,0,0,0,1
On Beyond Zebra!,0,0,0,0,0,0,0,0,1
Don't Forget the Bacon!,0,0,0,0,0,0,0,0,1
R.V.S.,0,0,0,0,0,0,0,0,1
Mr. Chas and Lisa Sue Meet the Pandas,0,0,0,0,0,0,0,0,1
The 500 Hats of Bartholomew Cubbins,0,0,0,0,0,0,0,0,1
ABC Bunny,0,0,0,0,0,0,0,0,1
"Brown Bear, Brown Bear, What Do You See?",0,0,0,0,0,0,0,0,1
Bad Day at Riverbend,0,0,0,0,0,0,0,0,1
"My Dad, John McCain",0,0,0,0,0,0,0,0,1
If I Ran the Circus,0,0,0,0,0,0,0,0,1
The Tale of Johnny Town-Mouse,0,0,0,0,0,0,0,0,1
Along Came a Dog,0,0,0,0,0,0,0,0,1
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,0,0,0,0,1,0,0,0,1
Brown Girl Dreaming,0,0,0,0,0,0,0,0,1
Like Jake and Me,0,0,0,0,0,0,0,1,1
El Deafo,0,0,0,0,0,0,0,0,1
What Katy Did,0,0,0,0,0,0,0,0,1
Rainbow Fish,0,0,0,0,0,0,0,0,1
The Strange Case of Origami Yoda,0,0,0,0,0,0,0,0,1
Return to the Hundred Acre Wood,0,0,0,0,0,0,0,0,1
Now We Are Six,0,0,0,0,0,0,0,0,1
Croatian Tales of Long Ago,0,0,0,0,0,0,0,0,1
"Sheila Rae, the Brave",0,0,0,0,0,0,0,0,1
Skippyjon Jones,0,0,0,0,0,0,0,0,1
Krindlekrax,0,0,0,0,0,0,0,0,1
The Blueberry Pie Elf,0,0,0,0,0,0,0,0,1
The Hallo-Wiener,0,0,0,0,0,0,0,0,1
Jack and Jill: A Village Story,0,0,0,0,0,0,0,0,1
"Danny, the Champion of the World",0,0,0,0,0,0,0,0,1
Fantastic Mr Fox,0,0,0,0,0,0,0,0,1
All in a Day,0,0,0,0,0,0,0,0,1
Last Stop on Market Street,0,0,0,0,0,0,0,0,1
Between Two Seas,0,0,0,0,0,0,0,0,1
The Scary Sleepover,0,0,0,0,0,0,0,0,1
The Extraordinary Education of Nicholas Benedict,0,0,0,0,0,0,0,0,1
Broken Soup,0,0,0,0,0,0,0,0,1
"I, Coriander",0,0,0,0,0,0,0,0,1
Bloomability,0,0,0,0,0,0,0,0,1
Strega Nona,0,0,0,0,0,0,0,0,1
That Rabbit Belongs to Emily Brown,0,0,0,0,0,0,0,0,1
The Cricket in Times Square,0,0,0,0,0,0,0,0,1
Charlotte's Web,0,0,0,0,0,0,0,0,1
The Fire-Eaters,0,0,0,0,0,0,0,0,1
On Pointe,0,0,0,0,0,0,0,0,1
Cloud Busting,0,0,0,0,0,0,0,0,1
Corby Flood,0,0,0,0,0,0,0,0,1
Owls in the Family,0,0,0,0,0,0,0,0,1
Blart III: The Boy Who Set Sail on a Questionable Quest,0,0,0,0,0,0,0,0,1
The Railway Children,0,0,0,0,0,0,0,0,1
Joey Pigza Swallowed the Key,0,0,0,0,0,0,0,0,1
Blart: The Boy Who Didn't Want to Save the World,0,0,0,0,0,0,0,0,1
Penny from Heaven,0,0,0,0,0,0,0,0,1
The Last Castaways,0,0,0,0,0,0,0,0,1
Flora  &  Ulysses,0,0,0,0,0,0,0,0,1
